Miesiac "Cena ($)"     
1970M01 7.800     
1970M02 7.800     
1970M03 7.800     
1970M04 7.800     
1970M05 7.800     
1970M06 7.800     
1970M07 7.800     
1970M08 7.800     
1970M09 7.800     
1970M10 7.800     
1970M11 7.800     
1970M12 7.800     
1971M01 8.680     
1971M02 8.680     
1971M03 8.680     
1971M04 8.680     
1971M05 8.680     
1971M06 8.680     
1971M07 8.680     
1971M08 8.680     
1971M09 8.680     
1971M10 8.680     
1971M11 8.680     
1971M12 8.680     
1972M01 9.600     
1972M02 9.600     
1972M03 9.600     
1972M04 9.600     
1972M05 9.600     
1972M06 9.600     
1972M07 9.600     
1972M08 9.600     
1972M09 9.600     
1972M10 9.600     
1972M11 9.600     
1972M12 9.600     
1973M01 11.480     
1973M02 11.480     
1973M03 11.480     
1973M04 11.480     
1973M05 11.480     
1973M06 11.480     
1973M07 11.480     
1973M08 11.480     
1973M09 11.480     
1973M10 11.480     
1973M11 11.480     
1973M12 11.480     
1974M01 16.890     
1974M02 16.890     
1974M03 16.890     
1974M04 16.890     
1974M05 16.890     
1974M06 16.890     
1974M07 16.890     
1974M08 16.890     
1974M09 16.890     
1974M10 16.890     
1974M11 16.890     
1974M12 16.890     
1975M01 26.840     
1975M02 26.840     
1975M03 26.840     
1975M04 26.840     
1975M05 26.840     
1975M06 26.840     
1975M07 26.840     
1975M08 26.840     
1975M09 26.840     
1975M10 26.840     
1975M11 26.840     
1975M12 26.840     
1976M01 27.160     
1976M02 27.160     
1976M03 27.160     
1976M04 27.160     
1976M05 27.160     
1976M06 27.160     
1976M07 27.160     
1976M08 27.160     
1976M09 27.160     
1976M10 27.160     
1976M11 27.160     
1976M12 27.160     
1977M01 28.680     
1977M02 28.680     
1977M03 28.680     
1977M04 28.680     
1977M05 28.678     
1977M06 28.678     
1977M07 28.678     
1977M08 28.678     
1977M09 28.678     
1977M10 28.678     
1977M11 28.678     
1977M12 28.678     
1978M01 27.869     
1978M02 27.060     
1978M03 27.060     
1978M04 27.060     
1978M05 28.605     
1978M06 30.150     
1978M07 30.150     
1978M08 30.150     
1978M09 30.150     
1978M10 30.150     
1978M11 30.150     
1978M12 30.150     
1979M01 30.150     
1979M02 30.150     
1979M03 30.150     
1979M04 30.150     
1979M05 30.150     
1979M06 30.150     
1979M07 30.150     
1979M08 31.260     
1979M09 31.260     
1979M10 32.370     
1979M11 32.370     
1979M12 32.370     
1980M01 32.370     
1980M02 32.370     
1980M03 32.370     
1980M04 39.540     
1980M05 40.140     
1980M06 40.740     
1980M07 40.740     
1980M08 44.240     
1980M09 44.610     
1980M10 44.610     
1980M11 44.980     
1980M12 44.980     
