Month Value
1970M01 7.8
1970M02 7.8
1970M03 7.8
1970M04 7.8
1970M05 7.8
1970M06 7.8
1970M07 7.8
1970M08 7.8
1970M09 7.8
1970M10 7.8
1970M11 7.8
1970M12 7.8
1971M01 8.68
1971M02 8.68
1971M03 8.68
1971M04 8.68
1971M05 8.68
1971M06 8.68
1971M07 8.68
1971M08 8.68
1971M09 8.68
1971M10 8.68
1971M11 8.68
1971M12 8.68
1972M01 9.6
1972M02 9.6
1972M03 9.6
1972M04 9.6
1972M05 9.6
1972M06 9.6
1972M07 9.6
1972M08 9.6
1972M09 9.6
1972M10 9.6
1972M11 9.6
1972M12 9.6
1973M01 11.48
1973M02 11.48
1973M03 11.48
1973M04 11.48
1973M05 11.48
1973M06 11.48
1973M07 11.48
1973M08 11.48
1973M09 11.48
1973M10 11.48
1973M11 11.48
1973M12 11.48
1974M01 16.89
1974M02 16.89
1974M03 16.89
1974M04 16.89
1974M05 16.89
1974M06 16.89
1974M07 16.89
1974M08 16.89
1974M09 16.89
1974M10 16.89
1974M11 16.89
1974M12 16.89
1975M01 26.84
1975M02 26.84
1975M03 26.84
1975M04 26.84
1975M05 26.84
1975M06 26.84
1975M07 26.84
1975M08 26.84
1975M09 26.84
1975M10 26.84
1975M11 26.84
1975M12 26.84
1976M01 27.16
1976M02 27.16
1976M03 27.16
1976M04 27.16
1976M05 27.16
1976M06 27.16
1976M07 27.16
1976M08 27.16
1976M09 27.16
1976M10 27.16
1976M11 27.16
1976M12 27.16
1977M01 28.68
1977M02 28.68
1977M03 28.68
1977M04 28.68
1977M05 28.678
1977M06 28.678
1977M07 28.678
1977M08 28.678
1977M09 28.678
1977M10 28.678
1977M11 28.678
1977M12 28.678
1978M01 27.869
1978M02 27.06
1978M03 27.06
1978M04 27.06
1978M05 28.605
1978M06 30.15
1978M07 30.15
1978M08 30.15
1978M09 30.15
1978M10 30.15
1978M11 30.15
1978M12 30.15
1979M01 30.15
1979M02 30.15
1979M03 30.15
1979M04 30.15
1979M05 30.15
1979M06 30.15
1979M07 30.15
1979M08 31.26
1979M09 31.26
1979M10 32.37
1979M11 32.37
1979M12 32.37
1980M01 32.37
1980M02 32.37
1980M03 32.37
1980M04 39.54
1980M05 40.14
1980M06 40.74
1980M07 40.74
1980M08 44.24
1980M09 44.61
1980M10 44.61
1980M11 44.98
1980M12 44.98
1981M01 44.98
1981M02 44.98
1981M03 44.98
1981M04 56.5
1981M05 56.5
1981M06 56.5
1981M07 56.5
1981M08 56.5
1981M09 56.5
1981M10 56.5
1981M11 56.5
1981M12 56.5
1982M01 55.61
1982M02 55.61
1982M03 55.61
1982M04 55.61
1982M05 55.61
1982M06 55.61
1982M07 55.61
1982M08 55.61
1982M09 55.61
1982M10 55.61
1982M11 55.61
1982M12 45.5
1983M01 43
1983M02 43
1983M03 43
1983M04 43
1983M05 43
1983M06 43
1983M07 34.75
1983M08 34.75
1983M09 34.75
1983M10 34.75
1983M11 32
1983M12 29.25
1984M01 29.25
1984M02 29.25
1984M03 29.25
1984M04 29.25
1984M05 29.25
1984M06 31.75
1984M07 31.75
1984M08 31.75
1984M09 31.75
1984M10 31.75
1984M11 32.75
1984M12 33.75
1985M01 33.75
1985M02 33.75
1985M03 33.75
1985M04 33.75
1985M05 33.75
1985M06 33.75
1985M07 33.75
1985M08 33.75
1985M09 33.75
1985M10 33.75
1985M11 33.75
1985M12 33.75
1986M01 33.75
1986M02 33.75
1986M03 30.75
1986M04 30.75
1986M05 30.75
1986M06 30.75
1986M07 30.75
1986M08 30.75
1986M09 30.75
1986M10 30.75
1986M11 30.75
1986M12 29.25
1987M01 29.25
1987M02 29.25
1987M03 29.25
1987M04 24.75
1987M05 24.75
1987M06 24.75
1987M07 27
1987M08 27
1987M09 27
1987M10 27
1987M11 29
1987M12 31
1988M01 31
1988M02 31
1988M03 33
1988M04 33
1988M05 33
1988M06 36
1988M07 36
1988M08 36
1988M09 37
1988M10 37
1988M11 37.5
1988M12 38
1989M01 38
1989M02 38
1989M03 38
1989M04 38
1989M05 38
1989M06 38
1989M07 38
1989M08 38
1989M09 38
1989M10 38
1989M11 38
1989M12 38
1990M01 38
1990M02 38
1990M03 38
1990M04 38
1990M05 40.5
1990M06 40.5
1990M07 40.5
1990M08 40.5
1990M09 40.5
1990M10 40.5
1990M11 40.5
1990M12 40.5
1991M01 40.5
1991M02 40.5
1991M03 39.5
1991M04 39.5
1991M05 39.5
1991M06 39.5
1991M07 39.5
1991M08 39.5
1991M09 39.5
1991M10 39.5
1991M11 39.5
1991M12 39.5
1992M01 39.5
1992M02 39.5
1992M03 39.5
1992M04 39.5
1992M05 39.5
1992M06 39.5
1992M07 39.5
1992M08 39.5
1992M09 39.5
1992M10 37.25
1992M11 35
1992M12 35
1993M01 35
1993M02 31
1993M03 31
1993M04 31
1993M05 31
1993M06 31
1993M07 31
1993M08 31
1993M09 31
1993M10 31
1993M11 31
1993M12 31
1994M01 31
1994M02 31
